Artical Id,Artical Title,Artical Data,
6,['Proud that I could wear the India colours for 15 years: Rani Rampal']," 'Rani RampalRani Rampal calls it a day; Hockey India retires her No. 28 jerseyNEW DELHI: Forward Rani Rampal one of India’s most prolific goal scorers in women\'s hockey retired from the game on Thursday ""without any regrets"". Hailing from a poor family Rani picked up sports at an early age in her village Shahabad Markanda in Haryana and went on to become the undisputed queen of the sport in the country as she helped the team win many international medals including two in the Asian Games. She came close to adding an Olympic medal to her kitty when the Indian team finished fourth at the 2020 Tokyo Olympics.Before officially announcing her retirement the 29-year-old spoke to a select group of journalists and talked about her journey her achievements and the future ahead. Excerpts...  BY TABOOLASPONSORED LINKSYOU MAY LIKEAmazon CFD: Your Route to a Second IncomeFXRD-PlusLearn MoreWhen did you reach this decision that you will not play any further?It was a very difficult decision because it is not easy for any player especially when you have played for 15-16 years for the country. I thought that this is the right time for me because I am already starting my new innings. I have taken up the mentor\'s role in Soorma Hockey Club in Hockey India League. I still feel proud to have played for the country for so many years.How would you look back at your career?It was a great career. There were a lot of good moments some low moments. I had never thought that I would play for the country for so many years. Never thought that this journey will be like this.When I was young like when I was 7 I never thought that I would play 254 games for the country and score so many goals. There are a lot of good moments that will always be with me. There were also a lot of struggles because my childhood was not so good. But the passion never ended.Looking back would you like to make any change given a chance?There are no regrets. Regrets happen when you don\'t give 100% and you think maybe I could have done better.Do you want to make any changes in women\'s hockey in India?There is already a lot of change in women\'s hockey. We used to wonder if there will ever be a women\'s league? But it has started. This will give the players a good exposure. It will also help the kids financially. So a lot of things are changing for good. There are a lot of schemes coming at the grassroots for young kids. But yes I want to see Indian women\'s hockey team on the Olympic podium. I tried a lot for that.Can you tell us one high point and one low point of your career?It is very difficult to tell one point. There are a lot of high points like when I got the Indian jersey for the first time. You cannot explain it in words. I feel proud that I have worn that jersey for 15 years. To represent India in two Olympics three Asian Games three Commonwealth Games is big. There are also low moments like losing in the Tokyo Olympic semifinals.What will be your coaching style attacking or defending?Nothing like that. The philosophy the strategy is decided by the coaching staff together. But whatever we do we will do our best for the players.']",
,,,
7,['India beat Germany 5-3 in second hockey Test but lose series in shootout']," ""(Hockey India Photo)India put up a valiant effort against the reigning world champions Germany in the second and final hockey Test at the Major Dhyan Chand National Stadium in Delhi on Thursday. The hosts emerged victorious with a scoreline of 5-3 levelling the two-match series 1-1.Germany had secured a 2-0 win in the first Test on Wednesday. To determine the series winner a shootout was conducted which saw Germany triumph 3-1.Harmanpreet Singh and Sukhjeet Singh scored a brace each for India but the hosts lost the two-match series via a shoot-out.Elian Mazkour (7th 57th minutes) scored twice for Germany who took the early lead while Henrik Mertgens (60th) was the other goal getter for the visitors.  BY TABOOLASPONSORED LINKSYOU MAY LIKEAmazon CFD: Your Route to a Second IncomeFXRD-PlusLearn MoreHosts India turned the table in the second half with goals from Sukhjeet Singh (34th and 48th) skipper Harmanpreet Singh (42nd and 43rd) and Abhishek (45th) to level the two-match series.In the penalty shoot-out Harmanpreet Abhishek and Mohammed Raheel missed while Aditya was the lone scorer.India custodian Krishan Bahadur Pathak made two fine saves in the pressure situation but couldn't save his side from losing in the shoot-out.Germany took the lead in the seventh minute through Elian Mazkour who scored with a fierce reverse shot from the right corner.The Indians finally found the net from penalty corners as Harmanpreet converted two in succession with a minute's gap. He first found the top right corner of the German goal and then scored a minute later with a powerful grounded flick.It was raining goals for a pumped-up India thereafter with Abhishek finding the back of the net minutes later with a fierce shot from the right corner to hand the home team a 4-1 lead.The Indians continued with the same intensity in the fourth and final quarter and extended their lead in the 48th minute through an unmarked Sukhjeet.Sukhjeet received a long pass from the deep and sped away with only the onrushing German goalkeeper to beat and he did that perfectly with a diving reverse hit.The fighting Germans didn't give up and secured another penalty corner in the 54th minute but failed to threaten the Indian goal.Germany however pulled one back three minutes from the final hooter when Mazkour received a ball inside the 'D' brilliantly turned to dodge an Indian defender and slotted home the ball past Indian goalkeeper Suraj Karkera.The Germans continued the high press and got another goal back just at the stroke of the final hooter through Henrik Mertgens.(with inputs from PTI)""]",
,,,
8,"[""Former India women's hockey skipper Rani Rampal announces retirement""]"," 'Former Indian women\'s hockey captain Rani Rampal has retired ending a 16-year illustrious career. Notable for her humble beginnings she led the team to their best Olympic finish in 2021 and earned prestigious awards including the Major Dhyan Chand Khel Ratna and the Padma Shri in 2020.Former Indian women\'s hockey team captain Rani Rampal announced her retirement on Thursday ending a glittering 16-year career during which she became an inspiration for beating abject poverty and conservative views at a small town in Haryana where her father worked as a cart-puller.The-29-year-old will sign off as one of India\'s most decorated hockey players after leading the women\'s team to its best-ever finish at the Olympics -- a fourth place at the Tokyo Games in 2021.""It\'s been an outstanding journey. I never thought I will play for so long for India. I have seen a lot of poverty from childhood but focus was always to do something represent the country"" she told reporters.A clinical forward who made her international debut in 2008 as a 14-year-old in the Olympic qualifiers that year Rani scored 205 goals in her 254 outings for India.She was honoured with the Major Dhyan Chand Khel Ratna Award in 2020 and was also a recipient of the Padma Shri the country\'s fourth highest civilian award in the same year.She was recently roped in as the national coach for sub-junior women players.Rani has also joined Soorma Hockey Club representing Haryana and Punjab in the revamped Hockey India League as the mentor of its women\'s team.The player from Shahabad considered a cradle of Indian hockey rose from abject poverty to make the national team.Her father Ram Pal who has been her guiding force earned a mere Rs 80 per day and could not afford to even buy her a hockey stick.She was rejected by a district level coach for being malnourished as a child but continued to practice with a broken hockey stick that she stumbled upon in a field.Despite the many obstacles including initial opposition from her conservative family Rani made the local team as a six-year-old before becoming the youngest hockey player to turn up for India as a 14-year-old.""It was a tough to take this decision especially when you have played 15-16 years for the country. But after much thought I felt it was the right time. Already I have started my new innings as a mentor for the Delhi team in the women\'s HIL"" said the forward who has also faced some challenging fitness issues in the last couple of years.""It was tough but finally I thought that it\'s time. I have no regrets in my life. But I still feel proud I got the honour to represent the country for so many years.""Rani was happy with the way her career progressed.Under Rani\'s captaincy the Indian women\'s team qualified for the quarterfinal of the 2018 World Cup in London and also won the silver medal at the 2018 Asian Games.She also led the team to victory in the 2019 FIH Series Finals and was a key contributor in the Indian team\'s back-to-back appearance in the Olympics.""I had a wonderful career. There were plenty of high moments as well as lows. But Rani as a seven-year-old had never thought of playing for the country for so many years the journey would be so glorious.""Seriously I have never thought I will play 254 games for the country and score 200 goals. All these moments will always remain with me. There was struggle too because my childhood was not that good but the passion never died. Country always came first for me.""Rani thanked her family especially father for supporting her in her career after she stood her ground to pursue hockey.""There are plenty of people who supported me in my career. The family comes first. My family has seen a lot of poverty had to struggle a lot. My father was poor but his thinking was very rich. He gave me the opportunity to play and make my name.""My coach Baldev (Singh) sir has a big role to play in my life. I got a very good teacher. I am lucky to have a coach like Baldev sir. He guided and taught me life lessons also besides hockey.Her only unfulfilled dream is an Olympic podium finish.""There are plenty of changes happening in women\'s hockey. We never thought there will be a league for women\'s hockey. Girls will good exposure and financial help as well"" she said.""What I want is to see the Indian women\'s hockey team at the Olympic podium. I tried a lot but came very close to it. I will very happy the day Indian women\'s team finishes on Olympic podium and we have that capability.""']",
,,,
9,"[""Hockey's exclusion from 2026 CWG a big setback: Rani Rampal""]"," '(PTI Photo)NEW DELHI: Describing the gold medal won by the Indian women\'s hockey team at the 2002 Commonwealth Games in Manchester an inspiration for her former captain Rani Rampal said on Thursday that the exclusion of the sport from the 2026 edition in Glasgow is a big setback for the country.The Glasgow organisers on Tuesday left out hockey shooting cricket badminton and wrestling from the roster of the scaled-down 2026 CWG a move which will severely hurt India\'s medal prospects at the quadrennial event.""The exclusion of hockey from Commonwealth Games is a big setback. It\'s very sad news. CWG has always been India\'s favourite event"" Rani told PTI Bhasha.Rani announced her retirement on Thursday ending a glittering 16-year career during which she became an inspiration for beating abject poverty and conservative views at a small town in Haryana where her father worked as a cart-puller.The-29-year-old will sign off as one of India\'s most decorated hockey players after leading the women\'s team to its best-ever finish at the Olympics -- a fourth place at the Tokyo Games in 2021.""I was very inspired by the gold medal won in the Manchester Commonwealth Games. Even today it could be a source of inspiration for many emerging players. We never thought that hockey would ever be excluded from it (CWG). This is bad news not just for hockey but also for all the other sports that have been excluded"" she said.Rani requested Hockey India to oppose the decision.""India\'s performance in the Commonwealth Games is good. When I (can) get inspired by this many players in the future will also be inspired to play after seeing India win medals.""Hockey India and all the sports federations should oppose this exclusion. There is no fault of the players who were working hard for so many years"" she added.']",
,,,
10,['India suffer 0-2 defeat against Germany in first hockey Test']," ""(Photo credit: Hockey India)NEW DELHI: India men's hockey team returned to the Major Dhyan Chand Stadium after a 10-year gap on Wednesday. 3930 days to be precise. The green faded pitch made way for the slick blue astroturf. The facilities got a major uplift. The Indian team had changed in the interim as had the coaching staff. But what didn't was the outcome from the last meeting between the two teams on the pitch.Two first-half goals from Henrik Mertgens and Lukas Windfeder ensured Germany who had beaten India at the Paris Olympics took the lead in the two-match bilateral series with a 2-0 win.It turned out to be a day when more streaks ended. This was India men's team's first game without scoring in 21 months - 647 days to be precise. Additionally it was the first game which ended in defeat for India without scoring since August 2022 or 807 days ago.  BY TABOOLASPONSORED LINKSYOU MAY LIKEAmazon CFD: Your Route to a Second IncomeFXRD-PlusLearn MoreA sizeable crowd made the most of free tickets for a mid-week game that started at 3pm. They were treated to a flurry of India attacking moves earning as many as seven penalty corners but failed to capitalise on any of them.If the disappointment of chances not being converted wasn't enough it came with the knowledge that India did get the ball in the goal only for it to be brought back. In the 26th minute Dilpreet Singh scooped the ball into the roof of the net only for it to be brought back on referral.After the video umpire's intervention India were awarded a penalty stroke and skipper Harmanpreet Singh stepped up. The usually lethal and reliable drag-flicker had his shot saved by Nnaji Joshua Onyekwue.The damage had been done early to India's cause just as the crowd had started to settle down with many school children in attendance. Mertgens found the space in the India area and made no mistake even as India were starting to settle down themselves.Similarly just as they and the rest of the players were seemingly readying to go into the half time break Germany scored with 14 seconds remaining on the clock. The reigning world champions and Paris Olympics silver-medallists earned themselves a penalty corner and Windfeder found the net despite Krishan Bahaur Pathak getting a hand to it.For the rest of the game India strived to get an opening. They got close at the start of the second half with the ball going across the face of the goal and that appeared to be the writing on the wall.Germany meanwhile grew into the game late on and had two glorious chances to add to their tally as India pressed on. Twice balls were spread in front of the India goalmouth but no one in a black jersey read the intention as the chances went begging.Thursday will present India with an opportunity to level the two-match series which comes on the sidelines of German Chancellor Olaf Scholz's three day visit to India as part of the 7th Intergovernmental Consultations (IGC).""]",
,,,
11,"[""'Absence of hockey at Commonwealth Games is not a good sign': Rupinder Pal Singh""]"," 'Rupinder Pal Singh. (Pic Credit - X)NEW DELHI: Hockey became one of the multiple prominent sports to be axed from the 2026 Commonwealth Games as hosts Glasgow focused on cutting costs. The Scottish city which had staged the Games in 2014 stepped in at a late stage after the Victorian government in Australia abandoned plans due to rising costs.In a bid to keep the Games to fewer stadiums and without the need to build infrastructure the hosts culled the programme to 10 sports with hockey wrestling cricket and diving getting the chop.Hockey had been one of the mainstays in the Commonwealth Games since making its debut in 1998. Australia have dominated the sport at the quadrennial event winning seven golds in men and four in women. India meanwhile clinched three silver medals in the men\'s event and three including a gold in 2002 in the women\'s.""Absence of hockey at the Commonwealth Games is not a good sign. The sport was growing in India and globally so it came as a blow. But we do have other big tournaments such as the World Cup Olympics etc. where we should focus more now"" said former drag-flicker Rupinder Pal Singh in a conversation with TimesofIndia.com.""It used to be perfect preparation before the World Cup for teams like Australia England India. And this was good preparation alongside practice and test matches"" added the 2014 Commonwealth Games medallist.The writing was always on the wall. Glasgow Games organisers had proposed four venues -- Commonwealth Arena and Sir Chris Hoy Velodrome Scotstoun Stadium (rugby and squash facilities) Tollcross International Swimming Centre and Scottish Events Campus. None of these venues have a hockey turf.Hockey\'s omission could also be down to the fact that the Games to be held from July 23 to August 2 come close to the FIH World Cup that is scheduled two weeks later from August 15 to 30 in Wavre Belgium and Amstelveen Netherlands.For Indian athletes Commonwealth Games provided not just a launchpad in preparation for future events but also an avenue for medal winners to claim government jobs and prize money.""For Indian athletes it was a good platform to get financial support be it any sport. Our policies are such that if you win medals at the Commonwealth Games then you get jobs and prize money. But now that this decision is made we can only guess why hockey has been omitted"" said Rupinder.Later the Federation of International Hockey (FIH) clarified that the decision to not include the sport in Glasgow was a one-off.“Whilst the Commonwealth Games Federation (CGF) had to confirm a new host for the 2026 Games in a short timeframe after the withdrawal from the Victorian Government and whilst we’ve taken note that the new concept for 2026 has been downsized with a core offering of only 10 sports we’re all the more disappointed by the CGF’s decision not to have hockey on the 2026 Glasgow Commonwealth Games programme” the FIH said in a statement.“That our sport has been played at every Commonwealth Games since 1998 something we are very proud of. With a reduction from 19 to 10 sports compared to the last edition of the Games hockey is therefore in the same situation as eight other sports” the statement continued.“However the CGF has been very clear in their various exchanges with FIH that this decision is exceptional and related to the challenging nature of this specific edition of the Commonwealth Games.“CGF has asserted that this decision will not impact the inclusion of hockey into future editions of the Commonwealth Games and that FIH remains a key partner and friend in both the history and future of the Commonwealth movement” a FIH spokesperson said in a statement.“As CGF has confirmed that hockey remains an important sport for the Federation its members and the Commonwealth movement we welcome their invitation to discuss further opportunities for hockey with the Commonwealth movement in the future” the statement said.']",
,,,
12,['Sultan of Johor Cup: Unbeaten India outclass hosts Malaysia 4-2']," ""(Hockey India Photo)JOHOR BAHRU (Malaysia): Three-time champions India defeated hosts Malaysia 4-2 to continue their unbeaten run at the Sultan of Johor Cup junior men's hockey tournament on Tuesday.After this win India are on top spot in the standings with nine points while New Zealand are placed second with five points and Australia third with four points.Sharda Nand Tiwari (11th minute) Arshdeep Singh (13th) Talem Priyobarta (39th) and Rohit (40th) scored for India while Muhammad Danish Aiman (8th) and Harris Osman (9th) found the net for Malaysia.It was in fact Malaysia who made a roaring start by putting India on the backfoot early on.  BY TABOOLASPONSORED LINKSYOU MAY LIKELearn about hotel management diplomahotel management diploma | Search AdsLearn MoreA quick-fire goal was set up by the home team captain Muhammad Addy Jazmi Jamlus who assisted Muhammad Danish Aiman to score a fine field goal in the eighth minute.Malaysia doubled their lead a minute later when Osman Harris scored from a penalty corner.But the Indian forwards shook off the early nerves and created scoring opportunities.In-form drag-flicker Sharda Nand helped India pull one goal back in the 11th minute from a penalty corner.India restored parity in the 13th minute when Arshdeep assisted by Manmeet Singh scored a fine field goal.While the second quarter remained goal-less there was plenty of action in the third quarter with India returning from the half-time break with renewed vigour.For the first time in the match India took 3-2 lead in the 39th minute when Priyobarta took a successful shot on goal from the edge of the circle.Rohit then extended India's lead with a fine penalty corner strike.The fourth quarter began with Malaysia earning a penalty corner but were off the mark.In the following minutes a flurry of penalty corners came in both India and Malaysia's way but neither could come up with successful conversions.However India did well to hold on to the 4-2 lead till the final hooter.""]",
,,,
13,['Opinion: Hockey India League must stay brave in its return']," ""Photo Source: XNEW DELHI: The return of Hockey India League (HIL) is perhaps the news everyone connected to the sport globally was looking forward to. The promise made a year ago is ready to be delivered the added bonanza being the introduction of the women's edition that will run simultaneously along with the men's tournament.The leagues begin in just over 60 days from now on December 28; and the major part onboarding players through an auction has been done after a stumble which was the kind of fear that kept the HIL on the backburner for seven years.TEETHING ISSUESConvincing corporates to invest in the league was only possible after two consecutive Olympic bronze medals. Still one (Ranchi - Navoyam Sports Ventures Pvt Ltd) of them chickened out as the men's team owner at the last moment. But Hockey India (HI) did well to have a back-up in Tarini Prasad Mohanty a mining magnate from Odisha who invested in the name of his native village and Team Gonasika (registered with its base as Visakhapatnam) replaced Navoyam in the auction hall to keep the total number of men's teams at eight.  BY TABOOLASPONSORED LINKSYOU MAY LIKELearn about hotel management diplomahotel management diploma | Search AdsLearn MoreThe women's league was initially announced as a six-team event but a last-minute development saw HI announcing that the remaining two franchises -- Hyderabad and Mumbai -- will join only from Season 2 onwards which will keep the maiden Women's HIL a four-team affair.That's the kind of pre-emptive actions HI will have to keep ready in the first three years of HIL's return which are expected to have a few bumps on the way.BROADCAST PARTNERWhere HI missed out initially is onboarding a broadcaster ahead of the players' auction which is a kind of clincher in the success of a franchise-based league that is trying to re-establish itself. It was one of the reasons for the less-than-expected digital outreach and buzz around the announcement of the league and the subsequent auction despite a YouTube livestream.It is understood that Reliance-owned Jio is virtually in. If that holds true even if the contract turns out to be for the first season only initially a broadcaster like Jio can fetch HIL the eyeballs which is pivotal because the league won't travel across the country this year.The men's edition will be played at the Birsa Munda Hockey Stadium in Rourkela and the women's league will be held at the Marang Gomke Jaipal Singh Astroturf Hockey Stadium in Ranchi.It's a decision that will spare HI the franchises and the broadcasters the logistical costs in HIL's re-establishing year. But it also brings along a few challenges.GRABBING ATTENTIONIt will be a challenge for the new government in Odisha to match the kind of buzz and fanfare that the former Chief Minister Naveen Patnaik and his team used to generate around major hockey events in the state. Despite that it will remain a task to keep the interest of the locals and fill up the 20000-capacity stadium for 36 days in a row.The women's league in Ranchi will face a similar challenge even though the stadium's capacity there is only 5000.It's also difficult to see national media organisations who don't have local bureaus around Rourkela and Ranchi to station reporters for a month-long duration despite the presence of Indian and international stars. The league's first two weeks coinciding with the Indian cricket team's Test tour of Australia will also present a challenge in getting traction digitally in the news and on live broadcast.The start of a tournament is always important to get engagement and build interest; and with challenges abound HIL's digital planning holds the key and will have to stand out.The men's HIL will run from December 28 to February 1 while the women's edition which is scheduled to begin on the same date as men's will undergo a change in its duration after the number of teams in Season 1 reduced from six to four.Another major announcement is still awaited.The Hero Group was the HIL's title sponsor from 2013 to 2015 while it was known as the Coal India HIL in 2016 and 2017 before HI hit the pause button on the league. A title-sponsor is another major check-box in sustenance of a franchise-based league. While it's likely that Hero will revive its relationship with the HIL the official announcement on the name is still awaited.SUSTAIN ALL-ROUND INTERESTThe episode with the withdrawal of Ranchi franchise is what presents the biggest scare to HIL in its bid to sustain itself. Corporate money is what any franchise-based league in the world flourishes on. If corporate pulls the plug like Navoyam did it can lead to a ripple effect -- especially at a time when the HIL is trying to find its footing again.Companies like the Charles Group (Chennai) Vedanta Limited (Odisha) and Resolute Sports (Hyderabad) and investor Tarini Prasad Mohanty (Team Gonasika) are new to the business of owning sports teams and will take time to build conviction that their investment will eventually work out.While the actual terms of the contract are not known HI will have to allow franchises the freedom to earn through means like advertisement revenue player engagement branding digital campaigns and so on in order to get on the path of achieving a break-even within the first three seasons of the league.Corporate thinking revolves around return of investment and HI will have to understand that. Even if it requires them to give an extra leeway to the owners in the first three years of HIL it won't be a bad bargain to sustain the league and cash in on it in the subsequent years.The International Hockey Federation (FIH) has already given a clear 35-day window to the HIL for the next 10 years which means the international calendar can be planned accordingly and the availability of top players in HIL is sorted.But the sustenance of HIL will largely depend on navigating through the occasional storms in the first three years and HI should plan all its moves with that in mind with a Plan B in place.ALSO WATCHIND vs NZ: Decoding what went wrong for Rohit Sharma & Co. | Injury Updates: Pant Gill & Shami""]",
,,,
14,['Varun Kumar returns to Indian hockey squad for Germany Test series after clearing sexual harassment charges']," 'Team India (PTI Photo)NEW DELHI: Defender Varun Kumar absent from the Indian men\'s hockey team since February due to sexual harassment allegations has been reinstated to the squad for the upcoming two-Test series against Germany. The matches are scheduled for October 23rd and 24th in New Delhi.Kumar\'s return follows his acquittal from all charges related to the allegations made by a former junior volleyball player.In February Bengaluru police had charged him under the Pocso Act after the 22-year-old woman accused him of sexual assault. However Hockey India sources confirmed that Kumar has been cleared of all charges paving the way for his return to the national team.This series marks Kumar\'s first appearance for the national team since missing out on the Paris Olympics and the Asian Champions Trophy.  BY TABOOLASPONSORED LINKSYOU MAY LIKEAmazon CFD: Your Route to a Second IncomeFXRD-PlusLearn MoreHis inclusion bolsters the defensive line-up which also features experienced players like Harmanpreet Singh Amit Rohidas and Jarmanpreet Singh.The Indian team captained by Harmanpreet Singh with Vivek Sagar Prasad as his deputy will be without star midfielder Hardik Singh who is recovering from an injury sustained during the Olympics.The series against Germany presents an opportunity for two new faces to make their international debuts: Rajinder Singh andAditya Arjun Lagate. Both players impressed during the recent training camp and will be eager to showcase their skills on the international stage.Chief coach Craig Fulton expressed his excitement for the upcoming series saying ""We are very excited to take on Germany in the national capital next week. India and Germany have shared a strong rivalry in recent years and we are upbeat about playing in New Delhi.""India\'s squadGoalkeepers: Krishan Bahadur Pathak Suraj Karkera.Defenders: Jarmanpreet Singh Amit Rohidas Harmanpreet Singh (C) Varun Kumar Sanjay Sumit Nilam Sanjeep Xess.Midfielders: Manpreet Singh Vivek Sagar Prasad (VC) Vishnu Kant Singh Nilakanta Sharma Shamsher Singh Mohd. Raheel Mouseen Rajinder Singh.Forwards: Mandeep Singh Abhishek Sukhjeet Singh Aditya Arjun Lalage Dilpreet Singh Shilananda Lakra.The team arrived in New Delhi on Sunday afternoon ready for the upcoming challenge against Germany. The series promises to be a thrilling encounter between two of the world\'s top hockey nations.']",
,,,
